   RR1  RR2  SHAMT  WREG  WD     WR   SHE  DIR  RD1  RD2
    E    F    0       0   0000    0    0    0  0000  0000
    E    F    0       1   0059    1    0    0  0000  0000
    E    F    1       2   0048    1    0    0  0000  0000
    E    F    1       3   007B    1    0    0  0000  0000
    E    F    1       4   0035    1    0    0  0000  0000
    1    2    0       0   7676    0    1    1  0059  0048
    3    4    0       0   7676    0    1    1  007B  0035
    1    1    3       2   7634    1    1    1  0059  0059
    3    3    5       4   1111    1    1    0  007B  007B
    1    2    0       0   7676    0    1    1  0059  02C8
    3    4    0       0   7676    0    1    1  007B  0003
    E    F    0       0   0000    0    0    0  0000  0000
